-3,9041
-2.8,6214.546432
-2.6,4177.507008
-2.4,2741.153408
-2.2,1753.037632
-2,1092
-1.8,663.545792
-1.6,395.590528
-1.4,234.573888
-1.2,141.942272
-1,91
-0.8,64.129152
-0.6,50.378048
-0.4,43.418368
-0.2,39.870912
0,38
0.2,36.776512
0.4,35.309568
0.6,32.646848
0.8,27.943552
1,21
1.2,13.167872
1.4,8.62508800000001
1.6,16.019328
1.8,50.480192
2,136
2.2,308.183232
2.4,617.364608
2.6,1132.095808
2.8,1943.000832
3,3167
3.2,4951.902592
3.4,7481.368128
3.6,10980.236288
3.8,15720.225472
4,22026
4.2,30281.605952
4.4,40937.275648
4.6,54516.600768
4.8,71624.074112
5,92953
5.2,119293.773312
5.4,151542.527168
5.6,190710.149248
